User Input,Chatbot Response,Timestamp
helo,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2025-01-03 12:37:05
your name,My name is Chatbot.,2025-01-03 12:37:26
what is computer,I can answer questions and provide assistance,2025-01-03 12:37:41
help me,How can I assist you?,2025-01-03 12:37:55
my name,My name is Chatbot.,2025-01-03 12:38:02
no my name,You can call me Chatbot.,2025-01-03 12:38:16
no what is my name,My name is Chatbot.,2025-01-03 12:38:28
hello,Hey,2025-01-05 09:00:45
hello,"I'm fine, thank you",2025-01-05 09:00:51
what is computer,I am a chatbot,2025-01-05 09:01:11
neeed,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2025-01-05 09:01:20
",dc",Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2025-01-05 09:18:33
helo,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2025-01-05 12:15:09
yuou name,My name is Chatbot.,2025-01-05 12:15:24
hello,"I'm fine, thank you",2025-01-11 08:45:10
